case_id,case_year,justice_name,advocate_name,utt_id_first,utt_id_last,advocate_gender,num_utts,num_utts_adv,num_utts_justice,num_toks_total,num_toks_adv,num_toks_justice,advocate_ideology,justice_ideology,adv_experience_int,adv_experience_bin,female_issue,num_adv_utts_interrupted,num_justice_utts_interrupted,adv_interruption_rate,justice_interruption_rate,num_adv_disfl,num_justice_disfl,num_adv_toks_in_utts_interrupted,num_justice_toks_in_utts_interrupted,justice_gender,adv_ideology_gender,ideology_matches
2015_15-7,2015,Stephen G. Breyer,David C. Frederick,24132__1_040,24132__1_043,M,4,2,2,237,192,45,liberal,liberal,3,1,0,1,0,5.208333333333333,0.0,1,0,34,0,M,M-liberal,1
2015_15-7,2015,Stephen G. Breyer,Roy T. Englert Jr.,24132__3_001,24132__3_004,M,4,2,2,854,695,159,conservative,liberal,0,0,0,0,0,0.0,0.0,2,0,0,0,M,M-conservative,0
2015_15-7,2015,Sonia Sotomayor,Roy T. Englert Jr.,24132__3_005,24132__3_018,M,14,7,7,575,381,194,conservative,liberal,0,0,0,6,3,15.748031496062993,15.463917525773196,3,4,377,79,F,M-conservative,0
2019_18-1116,2019,John G. Roberts Jr.,Donald B. Verrilli Jr.,24944__0_011,24944__0_021,M,11,5,6,445,212,233,conservative,conservative,8,1,0,2,2,9.433962264150944,8.583690987124463,7,15,63,26,M,M-conservative,1
2019_18-1116,2019,Elena Kagan,Donald B. Verrilli Jr.,24944__0_022,24944__0_027,M,6,3,3,669,622,47,conservative,liberal,8,1,0,0,1,0.0,21.27659574468085,19,0,0,5,F,M-conservative,0
2019_18-1116,2019,Elena Kagan,Donald B. Verrilli Jr.,24944__0_029,24944__0_040,M,12,6,6,336,193,143,conservative,liberal,8,1,0,3,2,15.544041450777202,13.986013986013987,7,4,13,16,F,M-conservative,0
2019_18-1116,2019,Samuel A. Alito Jr.,Donald B. Verrilli Jr.,24944__0_043,24944__0_046,M,4,2,2,207,157,50,conservative,conservative,8,1,0,0,0,0.0,0.0,4,0,0,0,M,M-conservative,1
2019_18-1116,2019,Ruth Bader Ginsburg,Donald B. Verrilli Jr.,24944__0_061,24944__0_066,M,6,3,3,432,366,66,conservative,liberal,8,1,0,2,0,5.46448087431694,0.0,18,5,180,0,F,M-conservative,0
2019_18-1116,2019,Sonia Sotomayor,Donald B. Verrilli Jr.,24944__0_067,24944__0_076,M,10,5,5,476,282,194,conservative,liberal,8,1,0,4,1,14.184397163120567,5.154639175257732,7,6,277,6,F,M-conservative,0
2019_18-1116,2019,Stephen G. Breyer,Donald B. Verrilli Jr.,24944__0_077,24944__0_084,M,8,4,4,338,185,153,conservative,liberal,8,1,0,2,0,10.81081081081081,0.0,5,6,57,0,M,M-conservative,0
2019_18-1116,2019,Samuel A. Alito Jr.,Matthew W.H. Wessler,24944__1_005,24944__1_016,M,12,6,6,568,390,178,liberal,conservative,1,1,0,1,1,2.5641025641025643,5.617977528089888,13,5,2,5,M,M-liberal,0
2019_18-1116,2019,Elena Kagan,Matthew W.H. Wessler,24944__1_017,24944__1_024,M,8,4,4,277,217,60,liberal,liberal,1,1,0,2,2,9.216589861751151,33.333333333333336,11,7,121,33,F,M-liberal,1
2019_18-1116,2019,Elena Kagan,Matthew W.H. Wessler,24944__1_030,24944__1_033,M,4,2,2,273,209,64,liberal,liberal,1,1,0,1,1,4.784688995215311,15.625,8,3,203,3,F,M-liberal,1
2019_18-1116,2019,Stephen G. Breyer,Matthew W.H. Wessler,24944__1_042,24944__1_047,M,6,3,3,218,23,195,liberal,liberal,1,1,0,2,0,86.95652173913044,0.0,1,3,21,0,M,M-liberal,1
2019_18-1116,2019,Elena Kagan,Matthew W.H. Wessler,24944__1_048,24944__1_053,M,6,3,3,183,119,64,liberal,liberal,1,1,0,0,2,0.0,31.25,3,5,0,56,F,M-liberal,1
2019_18-1116,2019,Samuel A. Alito Jr.,Matthew W.H. Wessler,24944__1_054,24944__1_057,M,4,2,2,516,427,89,liberal,conservative,1,1,0,0,0,0.0,0.0,6,2,0,0,M,M-liberal,0
2019_18-1116,2019,Sonia Sotomayor,Donald B. Verrilli Jr.,24944__3_000,24944__3_003,M,4,2,2,233,140,93,conservative,liberal,8,1,0,1,1,7.142857142857143,10.75268817204301,6,2,135,6,F,M-conservative,0
2012_11-1274,2012,Anthony M. Kennedy,Lewis J. Liman,22019__0_003,22019__0_006,M,4,2,2,233,148,85,liberal,conservative,0,0,0,1,0,6.756756756756757,0.0,5,4,129,0,M,M-liberal,0
2012_11-1274,2012,Sonia Sotomayor,Lewis J. Liman,22019__0_007,22019__0_010,M,4,2,2,379,211,168,liberal,liberal,0,0,0,1,1,4.739336492890995,5.9523809523809526,4,0,157,34,F,M-liberal,1
2012_11-1274,2012,Sonia Sotomayor,Lewis J. Liman,22019__0_015,22019__0_020,M,6,3,3,270,173,97,liberal,liberal,0,0,0,0,1,0.0,10.309278350515465,3,3,0,5,F,M-liberal,1
2012_11-1274,2012,Antonin Scalia,Lewis J. Liman,22019__0_021,22019__0_028,M,8,4,4,313,200,113,liberal,conservative,0,0,0,2,0,10.0,0.0,4,1,78,0,M,M-liberal,0
2012_11-1274,2012,Ruth Bader Ginsburg,Lewis J. Liman,22019__0_029,22019__0_034,M,6,3,3,163,104,59,liberal,liberal,0,0,0,1,0,9.615384615384615,0.0,1,2,45,0,F,M-liberal,1
2012_11-1274,2012,Stephen G. Breyer,Lewis J. Liman,22019__0_035,22019__0_052,M,18,9,9,222,127,95,liberal,liberal,0,0,0,3,0,23.62204724409449,0.0,4,0,32,0,M,M-liberal,1
2012_11-1274,2012,Sonia Sotomayor,Lewis J. Liman,22019__0_053,22019__0_062,M,10,5,5,237,133,104,liberal,liberal,0,0,0,1,0,7.518796992481203,0.0,6,1,71,0,F,M-liberal,1
2012_11-1274,2012,Elena Kagan,Lewis J. Liman,22019__0_064,22019__0_069,M,6,3,3,263,144,119,liberal,liberal,0,0,0,0,1,0.0,8.403361344537815,3,3,0,73,F,M-liberal,1
2012_11-1274,2012,Anthony M. Kennedy,Lewis J. Liman,22019__0_070,22019__0_079,M,10,5,5,514,356,158,liberal,conservative,0,0,0,2,0,5.617977528089888,0.0,4,1,43,0,M,M-liberal,0
2012_11-1274,2012,Ruth Bader Ginsburg,Lewis J. Liman,22019__0_080,22019__0_083,M,4,2,2,332,271,61,liberal,liberal,0,0,0,0,0,0.0,0.0,8,0,0,0,F,M-liberal,1
2012_11-1274,2012,Antonin Scalia,Jeffrey B. Wall,22019__1_000,22019__1_007,M,8,4,4,368,243,125,conservative,conservative,5,1,0,3,0,12.345679012345679,0.0,3,2,103,0,M,M-conservative,1
2012_11-1274,2012,Stephen G. Breyer,Jeffrey B. Wall,22019__1_008,22019__1_013,M,6,3,3,588,88,500,conservative,liberal,5,1,0,3,0,34.09090909090909,0.0,4,2,88,0,M,M-conservative,0
2012_11-1274,2012,Sonia Sotomayor,Jeffrey B. Wall,22019__1_026,22019__1_033,M,8,4,4,389,213,176,conservative,liberal,5,1,0,4,0,18.779342723004696,0.0,7,1,213,0,F,M-conservative,0
2012_11-1274,2012,John G. Roberts Jr.,Jeffrey B. Wall,22019__1_034,22019__1_039,M,6,3,3,347,96,251,conservative,conservative,5,1,0,3,1,31.25,3.9840637450199203,3,4,96,225,M,M-conservative,1
2012_11-1274,2012,Antonin Scalia,Jeffrey B. Wall,22019__1_044,22019__1_053,M,10,5,5,330,163,167,conservative,conservative,5,1,0,3,0,18.404907975460123,0.0,4,0,48,0,M,M-conservative,1
2012_11-1274,2012,Stephen G. Breyer,Jeffrey B. Wall,22019__1_054,22019__1_063,M,10,5,5,695,243,452,conservative,liberal,5,1,0,2,1,8.23045267489712,2.2123893805309733,4,4,50,160,M,M-conservative,0
2012_11-1274,2012,Stephen G. Breyer,Jeffrey B. Wall,22019__1_073,22019__1_078,M,6,3,3,410,241,169,conservative,liberal,5,1,0,2,1,8.298755186721992,5.9171597633136095,2,5,15,39,M,M-conservative,0
2012_11-1274,2012,Anthony M. Kennedy,Jeffrey B. Wall,22019__1_079,22019__1_082,M,4,2,2,122,64,58,conservative,conservative,5,1,0,1,0,15.625,0.0,2,2,4,0,M,M-conservative,1
2012_11-1274,2012,Stephen G. Breyer,Jeffrey B. Wall,22019__1_085,22019__1_088,M,4,2,2,99,50,49,conservative,liberal,5,1,0,0,0,0.0,0.0,2,0,0,0,M,M-conservative,0
2012_11-1274,2012,Antonin Scalia,Jeffrey B. Wall,22019__1_089,22019__1_092,M,4,2,2,304,169,135,conservative,conservative,5,1,0,2,0,11.834319526627219,0.0,3,6,169,0,M,M-conservative,1
2012_11-1274,2012,Stephen G. Breyer,Jeffrey B. Wall,22019__1_094,22019__1_103,M,10,5,5,298,55,243,conservative,liberal,5,1,0,2,0,36.36363636363637,0.0,3,8,22,0,M,M-conservative,0
2012_11-1274,2012,Elena Kagan,Jeffrey B. Wall,22019__1_106,22019__1_109,M,4,2,2,378,248,130,conservative,liberal,5,1,0,1,0,4.032258064516129,0.0,3,1,145,0,F,M-conservative,0
2012_11-1274,2012,John G. Roberts Jr.,Jeffrey B. Wall,22019__1_110,22019__1_113,M,4,2,2,504,349,155,conservative,conservative,5,1,0,1,0,2.865329512893983,0.0,2,1,74,0,M,M-conservative,1
2012_11-1274,2012,Antonin Scalia,Jeffrey B. Wall,22019__1_114,22019__1_125,M,12,6,6,347,218,129,conservative,conservative,5,1,0,3,0,13.761467889908257,0.0,5,0,51,0,M,M-conservative,1
2012_11-1231,2012,Sonia Sotomayor,Edwin S. Kneedler,22918__0_003,22918__0_012,M,10,5,5,335,201,134,liberal,liberal,15,1,0,3,0,14.925373134328359,0.0,8,1,174,0,F,M-liberal,1
2012_11-1231,2012,Samuel A. Alito Jr.,Edwin S. Kneedler,22918__0_021,22918__0_024,M,4,2,2,246,146,100,liberal,conservative,15,1,0,1,0,6.8493150684931505,0.0,6,3,96,0,M,M-liberal,0
2012_11-1231,2012,Sonia Sotomayor,Edwin S. Kneedler,22918__0_025,22918__0_036,M,12,6,6,393,230,163,liberal,liberal,15,1,0,5,1,21.73913043478261,6.134969325153374,16,5,181,39,F,M-liberal,1
2012_11-1231,2012,Antonin Scalia,Edwin S. Kneedler,22918__0_037,22918__0_044,M,8,4,4,384,241,143,liberal,conservative,15,1,0,3,0,12.448132780082988,0.0,9,2,130,0,M,M-liberal,0
2012_11-1231,2012,Antonin Scalia,Edwin S. Kneedler,22918__0_046,22918__0_049,M,4,2,2,110,65,45,liberal,conservative,15,1,0,2,0,30.76923076923077,0.0,4,0,65,0,M,M-liberal,0
2012_11-1231,2012,Sonia Sotomayor,Robert L. Roth,22918__2_000,22918__2_007,M,8,4,4,218,155,63,conservative,liberal,0,0,0,2,0,12.903225806451612,0.0,5,0,16,0,F,M-conservative,0
2012_11-1231,2012,Ruth Bader Ginsburg,Robert L. Roth,22918__2_010,22918__2_013,M,4,2,2,204,120,84,conservative,liberal,0,0,0,1,0,8.333333333333334,0.0,8,1,83,0,F,M-conservative,0
2012_11-1231,2012,Stephen G. Breyer,Robert L. Roth,22918__2_018,22918__2_021,M,4,2,2,369,121,248,conservative,liberal,0,0,0,1,0,8.264462809917354,0.0,4,2,86,0,M,M-conservative,0
2012_11-1231,2012,Ruth Bader Ginsburg,Robert L. Roth,22918__2_023,22918__2_030,M,8,4,4,621,465,156,conservative,liberal,0,0,0,3,0,6.451612903225806,0.0,12,4,427,0,F,M-conservative,0
2012_11-1231,2012,John G. Roberts Jr.,Robert L. Roth,22918__2_031,22918__2_040,M,10,5,5,212,124,88,conservative,conservative,0,0,0,1,0,8.064516129032258,0.0,5,1,7,0,M,M-conservative,1
2012_11-1231,2012,Antonin Scalia,Robert L. Roth,22918__2_041,22918__2_044,M,4,2,2,289,258,31,conservative,conservative,0,0,0,1,0,3.875968992248062,0.0,5,2,6,0,M,M-conservative,1
2012_11-1231,2012,Anthony M. Kennedy,Robert L. Roth,22918__2_047,22918__2_068,M,22,11,11,556,358,198,conservative,conservative,0,0,0,3,2,8.379888268156424,10.1010101010101,21,8,89,23,M,M-conservative,1
2012_11-1231,2012,Ruth Bader Ginsburg,Robert L. Roth,22918__2_069,22918__2_078,M,10,5,5,441,274,167,conservative,liberal,0,0,0,3,1,10.94890510948905,5.9880239520958085,13,3,135,40,F,M-conservative,0
2012_11-1231,2012,Elena Kagan,Robert L. Roth,22918__2_079,22918__2_086,M,8,4,4,305,149,156,conservative,liberal,0,0,0,1,1,6.7114093959731544,6.410256410256411,9,3,82,25,F,M-conservative,0
2012_11-1231,2012,Stephen G. Breyer,Robert L. Roth,22918__2_087,22918__2_098,M,12,6,6,466,174,292,conservative,liberal,0,0,0,3,0,17.24137931034483,0.0,9,4,79,0,M,M-conservative,0
2012_11-1231,2012,Ruth Bader Ginsburg,Robert L. Roth,22918__2_101,22918__2_104,M,4,2,2,846,711,135,conservative,liberal,0,0,0,2,0,2.8129395218002813,0.0,27,6,711,0,F,M-conservative,0
2012_11-1231,2012,Sonia Sotomayor,Robert L. Roth,22918__2_105,22918__2_110,M,6,3,3,114,80,34,conservative,liberal,0,0,0,1,1,12.5,29.41176470588235,3,1,7,16,F,M-conservative,0
2012_11-1231,2012,Sonia Sotomayor,Edwin S. Kneedler,22918__3_000,22918__3_003,M,4,2,2,109,49,60,liberal,liberal,15,1,0,1,1,20.408163265306122,16.666666666666668,2,2,5,13,F,M-liberal,1
2011_10-1104,2011,Ruth Bader Ginsburg,Jonathan S. Franklin,22598__0_001,22598__0_004,M,4,2,2,195,109,86,conservative,liberal,0,0,0,1,0,9.174311926605505,0.0,0,0,5,0,F,M-conservative,0
2011_10-1104,2011,Elena Kagan,Jonathan S. Franklin,22598__0_005,22598__0_008,M,4,2,2,491,386,105,conservative,liberal,0,0,0,1,1,2.5906735751295336,9.523809523809524,9,1,272,5,F,M-conservative,0
2011_10-1104,2011,Ruth Bader Ginsburg,Jonathan S. Franklin,22598__0_010,22598__0_017,M,8,4,4,222,150,72,conservative,liberal,0,0,0,2,0,13.333333333333334,0.0,4,2,39,0,F,M-conservative,0
2011_10-1104,2011,Anthony M. Kennedy,Jonathan S. Franklin,22598__0_018,22598__0_029,M,12,6,6,351,206,145,conservative,conservative,0,0,0,4,2,19.41747572815534,13.793103448275861,5,3,149,44,M,M-conservative,1
2011_10-1104,2011,Elena Kagan,Jonathan S. Franklin,22598__0_030,22598__0_033,M,4,2,2,450,328,122,conservative,liberal,0,0,0,1,0,3.048780487804878,0.0,4,2,155,0,F,M-conservative,0
2011_10-1104,2011,Samuel A. Alito Jr.,Jonathan S. Franklin,22598__0_034,22598__0_039,M,6,3,3,527,424,103,conservative,conservative,0,0,0,1,1,2.358490566037736,9.70873786407767,5,2,7,30,M,M-conservative,1
2011_10-1104,2011,John G. Roberts Jr.,Jonathan S. Franklin,22598__0_044,22598__0_047,M,4,2,2,136,63,73,conservative,conservative,0,0,0,0,1,0.0,13.698630136986301,3,2,0,2,M,M-conservative,1
2011_10-1104,2011,Elena Kagan,Jonathan S. Franklin,22598__0_048,22598__0_051,M,4,2,2,129,68,61,conservative,liberal,0,0,0,0,1,0.0,16.39344262295082,1,1,0,16,F,M-conservative,0
2011_10-1104,2011,Stephen G. Breyer,John F. Preis,22598__2_002,22598__4_021,M,20,11,9,662,399,263,liberal,liberal,0,0,0,7,3,17.54385964912281,11.406844106463879,8,5,336,44,M,M-liberal,1
2011_10-1104,2011,Stephen G. Breyer,John F. Preis,22598__4_025,22598__4_028,M,4,2,2,113,26,87,liberal,liberal,0,0,0,1,0,38.46153846153846,0.0,2,5,23,0,M,M-liberal,1
2011_10-1104,2011,Elena Kagan,John F. Preis,22598__4_030,22598__4_035,M,6,3,3,282,162,120,liberal,liberal,0,0,0,0,0,0.0,0.0,2,1,0,0,F,M-liberal,1
2011_10-1104,2011,Stephen G. Breyer,John F. Preis,22598__4_036,22598__4_041,M,6,3,3,348,234,114,liberal,liberal,0,0,0,2,0,8.547008547008547,0.0,5,1,231,0,M,M-liberal,1
2011_10-1104,2011,Sonia Sotomayor,John F. Preis,22598__4_042,22598__4_049,M,8,4,4,169,100,69,liberal,liberal,0,0,0,1,1,10.0,14.492753623188406,5,4,4,9,F,M-liberal,1
2011_10-1104,2011,Antonin Scalia,John F. Preis,22598__4_050,22598__4_055,M,6,3,3,117,58,59,liberal,conservative,0,0,0,1,0,17.24137931034483,0.0,0,2,14,0,M,M-liberal,0
2011_10-1104,2011,Stephen G. Breyer,John F. Preis,22598__4_056,22598__4_061,M,6,3,3,144,25,119,liberal,liberal,0,0,0,2,0,80.0,0.0,2,4,5,0,M,M-liberal,1
2011_10-1104,2011,Antonin Scalia,John F. Preis,22598__4_062,22598__4_065,M,4,2,2,205,112,93,liberal,conservative,0,0,0,1,0,8.928571428571429,0.0,2,0,3,0,M,M-liberal,0
2011_10-1104,2011,John G. Roberts Jr.,John F. Preis,22598__4_066,22598__4_075,M,10,5,5,484,294,190,liberal,conservative,0,0,0,0,1,0.0,5.2631578947368425,4,1,0,12,M,M-liberal,0
2011_10-1104,2011,Elena Kagan,John F. Preis,22598__4_080,22598__4_085,M,6,3,3,179,94,85,liberal,liberal,0,0,0,2,0,21.27659574468085,0.0,2,3,81,0,F,M-liberal,1
2011_10-1104,2011,Antonin Scalia,John F. Preis,22598__4_086,22598__4_091,M,6,3,3,164,106,58,liberal,conservative,0,0,0,1,0,9.433962264150944,0.0,2,3,78,0,M,M-liberal,0
2011_10-1104,2011,John G. Roberts Jr.,John F. Preis,22598__4_092,22598__4_097,M,6,3,3,123,36,87,liberal,conservative,0,0,0,1,1,27.77777777777778,11.494252873563218,1,3,21,13,M,M-liberal,0
2011_10-1104,2011,Ruth Bader Ginsburg,John F. Preis,22598__4_098,22598__4_105,M,8,4,4,451,357,94,liberal,liberal,0,0,0,0,0,0.0,0.0,5,1,0,0,F,M-liberal,1
2011_10-1104,2011,John G. Roberts Jr.,John F. Preis,22598__4_106,22598__4_115,M,10,5,5,541,310,231,liberal,conservative,0,0,0,2,2,6.451612903225806,8.658008658008658,4,7,137,46,M,M-liberal,0
2011_10-1104,2011,Antonin Scalia,John F. Preis,22598__4_116,22598__4_119,M,4,2,2,246,75,171,liberal,conservative,0,0,0,2,0,26.666666666666668,0.0,2,8,75,0,M,M-liberal,0
2011_10-1104,2011,Ruth Bader Ginsburg,Jonathan S. Franklin,22598__5_002,22598__5_011,M,10,5,5,430,366,64,conservative,liberal,0,0,0,1,1,2.73224043715847,15.625,10,2,77,7,F,M-conservative,0
2019_18-725,2019,Sonia Sotomayor,Adam G. Unikowsky,25049__0_001,25049__0_008,M,8,4,4,776,712,64,liberal,liberal,7,1,0,1,1,1.404494382022472,15.625,0,1,8,2,F,M-liberal,1
2019_18-725,2019,Samuel A. Alito Jr.,Adam G. Unikowsky,25049__0_010,25049__0_027,M,18,9,9,889,542,347,liberal,conservative,7,1,0,4,2,7.380073800738008,5.763688760806916,8,13,195,47,M,M-liberal,0
2019_18-725,2019,Ruth Bader Ginsburg,Adam G. Unikowsky,25049__0_028,25049__0_037,M,10,5,5,333,269,64,liberal,liberal,7,1,0,2,1,7.434944237918216,15.625,7,5,9,4,F,M-liberal,1
2019_18-725,2019,Sonia Sotomayor,Adam G. Unikowsky,25049__0_038,25049__0_045,M,8,4,4,104,54,50,liberal,liberal,7,1,0,0,2,0.0,40.0,1,2,0,30,F,M-liberal,1
2019_18-725,2019,Samuel A. Alito Jr.,Adam G. Unikowsky,25049__0_062,25049__0_067,M,6,3,3,337,281,56,liberal,conservative,7,1,0,3,2,10.676156583629894,35.714285714285715,5,3,281,46,M,M-liberal,0
